predictions,ground_truth,dates
4437.400879,3080.999756,10/29/22
2371.64624,2462.999756,11/5/22
4067.721436,2290.000244,11/12/22
83.14424896,2202.000244,11/19/22
1797.088623,2618.999756,11/26/22
974.8297729,1762.999756,12/3/22
2456.494385,3035.000244,12/10/22
69.06221771,2652.000244,12/17/22
458.5680847,3032.999756,12/24/22
1416.317139,2480.000244,12/31/22
2959.102295,2763.999756,1/7/23
3999.538818,4407,1/14/23
4203.148926,3664.000244,1/21/23
4817.793945,3743.000244,1/28/23
3134.688721,3452.000244,2/4/23
4049.841553,3440.000244,2/11/23
3494.694092,2857.000244,2/18/23
2451.867432,2362.000244,2/25/23
1481.031982,2196.999756,3/4/23
1664.780029,1887.000244,3/11/23
1756.473877,1741.000244,3/18/23
2678.761475,2084.000244,3/25/23
2066.423096,1746.000244,4/1/23
2782.838135,1736.999756,4/8/23
4440.633301,1729.000244,4/15/23
4338.863281,1289.999756,4/22/23
-1614.012939,1198.000244,4/29/23
