predictions,ground_truth,dates
8389.881836,3080.999756,10/29/22
8406.321289,2462.999756,11/5/22
8435.485352,2290.000244,11/12/22
8397.615234,2202.000244,11/19/22
8258.229492,2618.999756,11/26/22
8225.727539,1762.999756,12/3/22
8221.393555,3035.000244,12/10/22
8204.542969,2652.000244,12/17/22
8383.369141,3032.999756,12/24/22
8541.209961,2480.000244,12/31/22
8749.139648,2763.999756,1/7/23
8911.947266,4407,1/14/23
9061.907227,3664.000244,1/21/23
9250.103516,3743.000244,1/28/23
9349.611328,3452.000244,2/4/23
9371.84668,3440.000244,2/11/23
9379.518555,2857.000244,2/18/23
9397.225586,2362.000244,2/25/23
9410.37793,2196.999756,3/4/23
9398.555664,1887.000244,3/11/23
9403.932617,1741.000244,3/18/23
9401.359375,2084.000244,3/25/23
9415.110352,1746.000244,4/1/23
9438.145508,1736.999756,4/8/23
9423.516602,1729.000244,4/15/23
9434.612305,1289.999756,4/22/23
9452.552734,1198.000244,4/29/23
