predictions,ground_truth,dates
7529.054199,3080.999756,10/29/22
7526.86377,2462.999756,11/5/22
7501.550781,2290.000244,11/12/22
7529.323242,2202.000244,11/19/22
7558.530762,2618.999756,11/26/22
7600.561523,1762.999756,12/3/22
7628.872559,3035.000244,12/10/22
7762.556641,2652.000244,12/17/22
7891.034668,3032.999756,12/24/22
7934.160645,2480.000244,12/31/22
7947.028809,2763.999756,1/7/23
7942.761719,4407,1/14/23
7933.350586,3664.000244,1/21/23
7913.993652,3743.000244,1/28/23
7888.914551,3452.000244,2/4/23
7861.667969,3440.000244,2/11/23
7832.432129,2857.000244,2/18/23
7803.821777,2362.000244,2/25/23
7789.633301,2196.999756,3/4/23
7776.393555,1887.000244,3/11/23
7763.197754,1741.000244,3/18/23
7750.19873,2084.000244,3/25/23
7734.375977,1746.000244,4/1/23
7720.811523,1736.999756,4/8/23
7706.686035,1729.000244,4/15/23
7692.514648,1289.999756,4/22/23
7696.425293,1198.000244,4/29/23
