predictions,ground_truth,dates
7540.025879,3080.999756,10/29/22
7550.212402,2462.999756,11/5/22
7545.730469,2290.000244,11/12/22
7591.944336,2202.000244,11/19/22
7629.095703,2618.999756,11/26/22
7682.967285,1762.999756,12/3/22
7719.87793,3035.000244,12/10/22
7810.091797,2652.000244,12/17/22
7901.52832,3032.999756,12/24/22
7926.957031,2480.000244,12/31/22
7927.994141,2763.999756,1/7/23
7908.17627,4407,1/14/23
7879.928711,3664.000244,1/21/23
7840.237305,3743.000244,1/28/23
7792.921387,3452.000244,2/4/23
7743.022949,3440.000244,2/11/23
7695.551758,2857.000244,2/18/23
7650.131836,2362.000244,2/25/23
7622.683105,2196.999756,3/4/23
7592.357422,1887.000244,3/11/23
7565.630859,1741.000244,3/18/23
7541.632324,2084.000244,3/25/23
7512.737305,1746.000244,4/1/23
7486.294434,1736.999756,4/8/23
7460.415527,1729.000244,4/15/23
7439.089355,1289.999756,4/22/23
7439.63916,1198.000244,4/29/23
