predictions,ground_truth,dates
6511.126953,3080.999756,10/29/22
6516.443359,2462.999756,11/5/22
6432.253906,2290.000244,11/12/22
6404.446289,2202.000244,11/19/22
6343.736328,2618.999756,11/26/22
6424.486816,1762.999756,12/3/22
6454.252441,3035.000244,12/10/22
6534.468262,2652.000244,12/17/22
6791.933594,3032.999756,12/24/22
7065.797363,2480.000244,12/31/22
7168.351563,2763.999756,1/7/23
7286.305176,4407,1/14/23
7344.78418,3664.000244,1/21/23
7400.085938,3743.000244,1/28/23
7341.333496,3452.000244,2/4/23
7022.766602,3440.000244,2/11/23
6765.67334,2857.000244,2/18/23
6476.100586,2362.000244,2/25/23
6277.742676,2196.999756,3/4/23
6033.199707,1887.000244,3/11/23
5871.388672,1741.000244,3/18/23
5780.472656,2084.000244,3/25/23
5649.729492,1746.000244,4/1/23
5550.425293,1736.999756,4/8/23
5450.043457,1729.000244,4/15/23
5314.049316,1289.999756,4/22/23
5341.367676,1198.000244,4/29/23
