predictions,ground_truth,dates
2951.193115,3080.999756,10/29/22
2518.226318,2462.999756,11/5/22
2413.780518,2290.000244,11/12/22
2173.694092,2202.000244,11/19/22
2405.2771,2618.999756,11/26/22
2236.237061,1762.999756,12/3/22
2741.969482,3035.000244,12/10/22
2745.259521,2652.000244,12/17/22
2804.602295,3032.999756,12/24/22
2832.676025,2480.000244,12/31/22
3030.515381,2763.999756,1/7/23
3885.681396,4407,1/14/23
3862.128662,3664.000244,1/21/23
3747.582275,3743.000244,1/28/23
3477.826416,3452.000244,2/4/23
3249.688232,3440.000244,2/11/23
2867.68042,2857.000244,2/18/23
2416.895264,2362.000244,2/25/23
2113.365967,2196.999756,3/4/23
1995.172119,1887.000244,3/11/23
1841.275635,1741.000244,3/18/23
1918.375244,2084.000244,3/25/23
1844.045166,1746.000244,4/1/23
1695.784912,1736.999756,4/8/23
1613.949951,1729.000244,4/15/23
1349.177979,1289.999756,4/22/23
1140.300049,1198.000244,4/29/23
