predictions,ground_truth,dates
6814.756348,3080.999756,10/29/22
6926.114746,2462.999756,11/5/22
6811.543945,2290.000244,11/12/22
7023.781738,2202.000244,11/19/22
7040.237305,2618.999756,11/26/22
7185.77832,1762.999756,12/3/22
7194.39502,3035.000244,12/10/22
7617.430176,2652.000244,12/17/22
7912.496582,3032.999756,12/24/22
7785.492188,2480.000244,12/31/22
7740.723145,2763.999756,1/7/23
7672.651855,4407,1/14/23
7632.94043,3664.000244,1/21/23
7550.02002,3743.000244,1/28/23
7480.24707,3452.000244,2/4/23
7420.092285,3440.000244,2/11/23
7350.149902,2857.000244,2/18/23
7296.089355,2362.000244,2/25/23
7305.59375,2196.999756,3/4/23
7257.706055,1887.000244,3/11/23
7228.733398,1741.000244,3/18/23
7204.539551,2084.000244,3/25/23
7150.733398,1746.000244,4/1/23
7118.791992,1736.999756,4/8/23
7089.583984,1729.000244,4/15/23
7092.101074,1289.999756,4/22/23
7151.096191,1198.000244,4/29/23
