predictions,ground_truth,dates
8032.938477,3080.999756,10/29/22
8032.742188,2462.999756,11/5/22
8031.93457,2290.000244,11/12/22
8036.798828,2202.000244,11/19/22
8044.588867,2618.999756,11/26/22
8056.214355,1762.999756,12/3/22
8066.253906,3035.000244,12/10/22
8080.863281,2652.000244,12/17/22
8099.700195,3032.999756,12/24/22
8113.67041,2480.000244,12/31/22
8119.536621,2763.999756,1/7/23
8120.154785,4407,1/14/23
8116.236816,3664.000244,1/21/23
8109.076172,3743.000244,1/28/23
8096.964355,3452.000244,2/4/23
8082.755859,3440.000244,2/11/23
8070.567871,2857.000244,2/18/23
8058.713867,2362.000244,2/25/23
8049.600098,2196.999756,3/4/23
8041.355957,1887.000244,3/11/23
8034.172852,1741.000244,3/18/23
8027.665039,2084.000244,3/25/23
8020.70166,1746.000244,4/1/23
8014.058594,1736.999756,4/8/23
8007.492676,1729.000244,4/15/23
8000.986328,1289.999756,4/22/23
7998.293945,1198.000244,4/29/23
