predictions,ground_truth,dates
8541.129883,3080.999756,10/29/22
8539.944336,2462.999756,11/5/22
8536.186523,2290.000244,11/12/22
8548.328125,2202.000244,11/19/22
8557.861328,2618.999756,11/26/22
8573.464844,1762.999756,12/3/22
8585.75293,3035.000244,12/10/22
8622.575195,2652.000244,12/17/22
8661.276367,3032.999756,12/24/22
8675.455078,2480.000244,12/31/22
8680.90332,2763.999756,1/7/23
8678.46582,4407,1/14/23
8672.592773,3664.000244,1/21/23
8661.923828,3743.000244,1/28/23
8645.948242,3452.000244,2/4/23
8628.914063,3440.000244,2/11/23
8613.121094,2857.000244,2/18/23
8598.371094,2362.000244,2/25/23
8589.332031,2196.999756,3/4/23
8578.973633,1887.000244,3/11/23
8569.661133,1741.000244,3/18/23
8561.15625,2084.000244,3/25/23
8551.322266,1746.000244,4/1/23
8542.824219,1736.999756,4/8/23
8534.614258,1729.000244,4/15/23
8526.84375,1289.999756,4/22/23
8525.993164,1198.000244,4/29/23
