predictions,ground_truth,dates
7126.5,3080.999756,10/29/22
7177.75,2462.999756,11/5/22
7142.036133,2290.000244,11/12/22
7217.493164,2202.000244,11/19/22
7228.597656,2618.999756,11/26/22
7288.837891,1762.999756,12/3/22
7309.30957,3035.000244,12/10/22
7529.853516,2652.000244,12/17/22
7710.470703,3032.999756,12/24/22
7678.832031,2480.000244,12/31/22
7673.401855,2763.999756,1/7/23
7649.136719,4407,1/14/23
7635.445313,3664.000244,1/21/23
7599.447754,3743.000244,1/28/23
7565.427734,3452.000244,2/4/23
7542.643066,3440.000244,2/11/23
7515.271973,2857.000244,2/18/23
7493.909668,2362.000244,2/25/23
7498.27002,2196.999756,3/4/23
7475.953613,1887.000244,3/11/23
7466.871582,1741.000244,3/18/23
7458.522461,2084.000244,3/25/23
7431.547852,1746.000244,4/1/23
7415.310547,1736.999756,4/8/23
7400.300781,1729.000244,4/15/23
7405.368652,1289.999756,4/22/23
7437.343262,1198.000244,4/29/23
