predictions,ground_truth,dates
2584.144287,3080.999756,10/29/22
2460.045166,2462.999756,11/5/22
2438.349854,2290.000244,11/12/22
2127.642822,2202.000244,11/19/22
2425.791748,2618.999756,11/26/22
2290.718994,1762.999756,12/3/22
2727.148193,3035.000244,12/10/22
2489.215576,2652.000244,12/17/22
2750.623779,3032.999756,12/24/22
3053.882568,2480.000244,12/31/22
3238.530518,2763.999756,1/7/23
3585.249268,4407,1/14/23
3466.400635,3664.000244,1/21/23
3641.182861,3743.000244,1/28/23
3280.934326,3452.000244,2/4/23
3028.454834,3440.000244,2/11/23
2668.54126,2857.000244,2/18/23
2349.435791,2362.000244,2/25/23
2067.689697,2196.999756,3/4/23
1947.830811,1887.000244,3/11/23
1816.207275,1741.000244,3/18/23
1801.18335,2084.000244,3/25/23
1698.625732,1746.000244,4/1/23
1600.840088,1736.999756,4/8/23
1443.577881,1729.000244,4/15/23
1244.757568,1289.999756,4/22/23
1174.407959,1198.000244,4/29/23
