predictions,groundtruth,dates
774.05,3081,10/29/22
428.92,2463,11/5/22
-571.41,2290,11/12/22
-1157.86,2202,11/19/22
910.22,2619,11/5/22
1970.7,1763,11/12/22
2679.66,3035,11/19/22
3752.24,2652,11/26/22
3654.18,3033,11/12/22
4908.05,2480,11/19/22
3872.86,2764,11/26/22
3782.05,4407,12/3/22
3236.17,3664,11/19/22
3490.08,3743,11/26/22
3752.53,3452,12/3/22
5294.65,3440,12/10/22
4491.58,2857,11/26/22
2940.85,2362,12/3/22
2340.2,2197,12/10/22
2228.12,1887,12/17/22
2201.2,1741,12/3/22
1721.18,2084,12/10/22
2003.13,1746,12/17/22
