predictions,groundtruth,dates
8191.41,3081,10/29/22
8195.17,2463,11/5/22
8179.11,2290,11/12/22
8191.74,2202,11/19/22
8199.05,2619,11/5/22
8216.01,1763,11/12/22
8229.14,3035,11/19/22
8295.81,2652,11/26/22
8344.83,3033,11/12/22
8358.84,2480,11/19/22
8368.01,2764,11/26/22
8370.32,4407,12/3/22
8370.46,3664,11/19/22
8365.81,3743,11/26/22
8358.77,3452,12/3/22
8350.81,3440,12/10/22
8341.89,2857,11/26/22
8333.41,2362,12/3/22
8328.96,2197,12/10/22
8322.8,1887,12/17/22
8318.47,1741,12/3/22
8314.22,2084,12/10/22
8308.28,1746,12/17/22
