predictions,groundtruth,dates
8761.87,3081,10/29/22
8748.14,2463,11/5/22
8762.29,2290,11/12/22
8816.9,2202,11/19/22
8852.51,2619,11/5/22
8885.21,1763,11/12/22
8922.25,3035,11/19/22
9205.41,2652,11/26/22
9255.35,3033,11/12/22
9186.66,2480,11/19/22
9146.13,2764,11/26/22
9122.61,4407,12/3/22
9110.98,3664,11/19/22
9104.92,3743,11/26/22
9094.13,3452,12/3/22
9072.92,3440,12/10/22
9045.29,2857,11/26/22
9017.33,2362,12/3/22
9001.67,2197,12/10/22
8991.7,1887,12/17/22
8974.15,1741,12/3/22
8957.62,2084,12/10/22
8949.18,1746,12/17/22
