predictions,groundtruth,dates
8580.26,3081,10/29/22
8580.03,2463,11/5/22
8582.64,2290,11/12/22
8586.41,2202,11/19/22
8589.64,2619,11/5/22
8591.63,1763,11/12/22
8592.89,3035,11/19/22
8593.09,2652,11/26/22
8590.77,3033,11/12/22
8586.44,2480,11/19/22
8581.67,2764,11/26/22
8577.31,4407,12/3/22
8573.64,3664,11/19/22
8570.67,3743,11/26/22
8568.16,3452,12/3/22
8565.79,3440,12/10/22
8563.43,2857,11/26/22
8561.02,2362,12/3/22
8559.04,2197,12/10/22
8557.38,1887,12/17/22
8555.63,1741,12/3/22
8553.9,2084,12/10/22
8552.33,1746,12/17/22
