predictions,groundtruth,dates
8150.52,3081,10/29/22
8188.63,2463,11/5/22
8132.61,2290,11/12/22
8179.45,2202,11/19/22
8210.2,2619,11/5/22
8265.68,1763,11/12/22
8320.07,3035,11/19/22
8634.96,2652,11/26/22
8758.54,3033,11/12/22
8728.79,2480,11/19/22
8710.05,2764,11/26/22
8689.84,4407,12/3/22
8679.59,3664,11/19/22
8664.19,3743,11/26/22
8648.25,3452,12/3/22
8636.73,3440,12/10/22
8621.58,2857,11/26/22
8608.8,2362,12/3/22
8608.57,2197,12/10/22
8594.44,1887,12/17/22
8586.81,1741,12/3/22
8580.64,2084,12/10/22
8565.96,1746,12/17/22
