predictions,groundtruth,dates
8506.24,3081.00,10/29/22
8532.16,2463.00,11/5/22
8516.99,2290.00,11/12/22
8598.43,2202.00,11/19/22
8590.54,2619.00,11/5/22
8706.41,1763.00,11/12/22
8743.01,3035.00,11/19/22
8773.86,2652.00,11/26/22
8702.98,3033.00,11/12/22
8546.04,2480.00,11/19/22
8595.05,2764.00,11/26/22
8497.04,4407.00,12/3/22
8524.74,3664.00,11/19/22
8514.77,3743.00,11/26/22
8469.04,3452.00,12/3/22
8490.91,3440.00,12/10/22
8478.18,2857.00,11/26/22
8482.96,2362.00,12/3/22
8480.55,2197.00,12/10/22
8475.72,1887.00,12/17/22
8493.15,1741.00,12/3/22
8487.34,2084.00,12/10/22
8486.84,1746.00,12/17/22
