predictions,groundtruth,dates
1394.83,3081,10/29/22
1400.92,2463,11/5/22
1316.65,2290,11/12/22
1290.96,2202,11/19/22
1229.93,2619,11/5/22
1311.64,1763,11/12/22
1339.33,3035,11/19/22
1419.52,2652,11/26/22
1676.2,3033,11/12/22
1947.65,2480,11/19/22
2049.78,2764,11/26/22
2164.66,4407,12/3/22
2222.89,3664,11/19/22
2276.52,3743,11/26/22
2217.8,3452,12/3/22
1901.5,3440,12/10/22
1646.53,2857,11/26/22
1359.69,2362,12/3/22
1163.68,2197,12/10/22
921.28,1887,12/17/22
761.18,1741,12/3/22
670.7,2084,12/10/22
540.8,1746,12/17/22
