predictions,groundtruth,dates
8457.19,3081,10/29/22
8457.07,2463,11/5/22
8456.29,2290,11/12/22
8457.78,2202,11/19/22
8459.69,2619,11/5/22
8462,1763,11/12/22
8465.01,3035,11/19/22
8473.48,2652,11/26/22
8480.5,3033,11/12/22
8483.96,2480,11/19/22
8485.64,2764,11/26/22
8485.98,4407,12/3/22
8485.48,3664,11/19/22
8484.27,3743,11/26/22
8482,3452,12/3/22
8479.47,3440,12/10/22
8477.15,2857,11/26/22
8474.88,2362,12/3/22
8473.34,2197,12/10/22
8471.7,1887,12/17/22
8470.44,1741,12/3/22
8469.45,2084,12/10/22
8468.08,1746,12/17/22
