predictions,groundtruth,dates
1991.11,3081,10/29/22
1680.9,2463,11/5/22
1887.2,2290,11/12/22
1296.43,2202,11/19/22
1258.11,2619,11/5/22
1332.54,1763,11/12/22
1499.65,3035,11/19/22
1755.84,2652,11/26/22
1074.37,3033,11/12/22
1796.62,2480,11/19/22
1987.15,2764,11/26/22
2372.07,4407,12/3/22
2675.04,3664,11/19/22
2830.83,3743,11/26/22
3102.74,3452,12/3/22
2691.59,3440,12/10/22
2467.15,2857,11/26/22
2052.74,2362,12/3/22
1547.37,2197,12/10/22
1340.19,1887,12/17/22
1132.14,1741,12/3/22
995.03,2084,12/10/22
1086.06,1746,12/17/22
