predictions,groundtruth,dates
3024.53,3081,10/29/22
2687.32,2463,11/5/22
2405.32,2290,11/12/22
2134.8,2202,11/19/22
2361.79,2619,11/5/22
2221.15,1763,11/12/22
2774.13,3035,11/19/22
2665.57,2652,11/26/22
2883.64,3033,11/12/22
2675.18,2480,11/19/22
3127.58,2764,11/26/22
3777.84,4407,12/3/22
3955.53,3664,11/19/22
3990.51,3743,11/26/22
3406.39,3452,12/3/22
3250.72,3440,12/10/22
2791.28,2857,11/26/22
2417.68,2362,12/3/22
2093.14,2197,12/10/22
1940.82,1887,12/17/22
1879.41,1741,12/3/22
1881.58,2084,12/10/22
1847.22,1746,12/17/22
